CMDLINE /home/mamm/anaconda3/envs/agar/bin/python test_dqn.py
MEM 2959.515625 1738816012.7334
MEM 2959.515625 1738816012.8351
MEM 2959.515625 1738816012.9354
MEM 2959.515625 1738816013.0356
MEM 2959.515625 1738816013.1358
MEM 2959.515625 1738816013.2361
MEM 2959.515625 1738816013.3363
MEM 2959.515625 1738816013.4365
MEM 2959.640625 1738816013.5385
MEM 2959.640625 1738816013.6399
MEM 2959.640625 1738816013.7428
MEM 2959.640625 1738816013.8431
MEM 2959.640625 1738816013.9434
MEM 2959.640625 1738816014.0436
MEM 2959.765625 1738816014.1448
MEM 2959.765625 1738816014.2461
MEM 2967.890625 1738816014.3463
MEM 2968.015625 1738816014.4466
MEM 2968.015625 1738816014.5468
MEM 2968.015625 1738816014.6470
MEM 2968.015625 1738816014.7482
MEM 2968.015625 1738816014.8488
MEM 2968.015625 1738816014.9491
MEM 2968.015625 1738816015.0494
MEM 2968.015625 1738816015.1521
MEM 2968.015625 1738816015.2524
MEM 2968.015625 1738816015.3527
MEM 2968.015625 1738816015.4530
MEM 2968.015625 1738816015.5533
MEM 2968.015625 1738816015.6536
MEM 2968.015625 1738816015.7552
MEM 2968.015625 1738816015.8554
MEM 2968.015625 1738816015.9557
MEM 2968.015625 1738816016.0560
MEM 2968.015625 1738816016.1563
MEM 2968.015625 1738816016.2565
MEM 2968.015625 1738816016.3577
MEM 2968.015625 1738816016.4580
MEM 2968.015625 1738816016.5583
MEM 2968.015625 1738816016.6596
MEM 2968.015625 1738816016.7599
MEM 2968.015625 1738816016.8602
MEM 2968.015625 1738816016.9615
MEM 2968.015625 1738816017.0625
MEM 2968.015625 1738816017.1636
MEM 2968.015625 1738816017.2638
MEM 2968.015625 1738816017.3641
MEM 2968.015625 1738816017.4651
MEM 2968.015625 1738816017.5654
MEM 2968.015625 1738816017.6656
MEM 2968.015625 1738816017.7659
MEM 2968.015625 1738816017.8677
MEM 2968.140625 1738816017.9695
MEM 2968.140625 1738816018.0701
MEM 2968.140625 1738816018.1713
MEM 2968.265625 1738816018.2720
MEM 2968.265625 1738816018.3728
MEM 2968.265625 1738816018.4730
MEM 2968.265625 1738816018.5733
MEM 2968.265625 1738816018.6736
MEM 2968.265625 1738816018.7755
MEM 2968.265625 1738816018.8758
MEM 2968.265625 1738816018.9760
MEM 2968.265625 1738816019.0763
MEM 2968.265625 1738816019.1766
MEM 2968.265625 1738816019.2768
MEM 2968.265625 1738816019.3772
MEM 2968.265625 1738816019.4775
MEM 2968.265625 1738816019.5778
MEM 2968.390625 1738816019.6800
MEM 2968.390625 1738816019.7803
MEM 2968.390625 1738816019.8831
